Mach,CD Power-On
7.06,0.795327215
7.07,0.795088607
7.08,0.794850782
7.09,0.794613629
7.1,0.794377267
7.11,0.794141564
7.12,0.793906646
7.13,0.793672386
7.14,0.793438898
7.15,0.793206063
7.16,0.792974098
7.17,0.792742691
7.18,0.792512033
7.19,0.792282129
7.2,0.792052881
7.21,0.791824274
7.22,0.791596509
7.23,0.791369292
7.24,0.791142814
7.25,0.790917061
7.26,0.790691952
7.27,0.790467478
7.28,0.790243826
7.29,0.790020692
7.3,0.789798296
7.31,0.789576609
7.32,0.789355547
7.33,0.789135199
7.34,0.788915462
7.35,0.788696338
7.36,0.788477922
7.37,0.788260215
7.38,0.788043113
7.39,0.787826608
7.4,0.787610805
7.41,0.787395695
7.42,0.787181075
7.43,0.786967254
7.44,0.786753911
7.45,0.786541265
7.46,0.786329304
7.47,0.786117915
7.48,0.78590721
7.49,0.785697084
7.5,0.785487538
7.51,0.78527866
7.52,0.785070449
7.53,0.784862812
7.54,0.784655639
7.55,0.784449228
7.56,0.784243378
7.57,0.784038189
7.58,0.783833557
7.59,0.783629483
7.6,0.783426054
7.61,0.783223179
7.62,0.783020957
7.63,0.782819276
7.64,0.782618237
7.65,0.782417746
7.66,0.782217792
7.67,0.782018475
7.68,0.781819693
7.69,0.781621544
7.7,0.781423919
7.71,0.781226834
7.72,0.78103037
7.73,0.780834433
7.74,0.780639025
7.75,0.780444232
7.76,0.780250054
7.77,0.7800564
7.78,0.779863258
7.79,0.779670628
7.8,0.779478618
7.81,0.779287205
7.82,0.7790962
7.83,0.778905803
7.84,0.778716009
7.85,0.77852662
7.86,0.778337923
7.87,0.778149628
7.88,0.777961932
7.89,0.777774827
7.9,0.777588108
7.91,0.777402077
7.92,0.77721644
7.93,0.777031388
7.94,0.77684682
7.95,0.776662734
7.96,0.776479328
7.97,0.776296303
7.98,0.776113755
7.99,0.775931775
8,0.775750272
8.01,0.775569443
8.02,0.775388879
8.03,0.775208988
8.04,0.775029459
8.05,0.77485049
8.06,0.774672091
8.07,0.774494151
8.08,0.774316667
8.09,0.774139641
8.1,0.773963169
8.11,0.773787162
8.12,0.773611687
8.13,0.773436676
8.14,0.773262014
8.15,0.773087993
8.16,0.77291443
8.17,0.772741296
8.18,0.772568607
8.19,0.772396466
8.2,0.772224758
8.21,0.772053583
8.22,0.771882752
8.23,0.771712452
8.24,0.771542683
8.25,0.771373342
8.26,0.771204332
8.27,0.771035947
8.28,0.77086789
8.29,0.770700458
8.3,0.770533351
8.31,0.770366666
8.32,0.770200495
8.33,0.770034745
8.34,0.769869505
8.35,0.769704595
8.36,0.769540283
8.37,0.76937629
8.38,0.769212802
8.39,0.769049731
8.4,0.768887064
8.41,0.768724901
8.42,0.76856305
8.43,0.768401791
8.44,0.768240844
8.45,0.768080386
8.46,0.767920328
8.47,0.767760677
8.48,0.767601514
8.49,0.767442746
8.5,0.767284375
8.51,0.767126487
8.52,0.766968893
8.53,0.766811792
8.54,0.766655173
8.55,0.766498844
8.56,0.766342994
8.57,0.766187535
8.58,0.766032544
8.59,0.765877849
8.6,0.76572372
8.61,0.765569878
8.62,0.765416399
8.63,0.765263415
8.64,0.765110783
8.65,0.764958534
8.66,0.764806754
8.67,0.764655346
8.68,0.764504307
8.69,0.764353627
8.7,0.764203424
8.71,0.764053579
8.72,0.763904099
8.73,0.763755075
8.74,0.763606314
8.75,0.763458017
8.76,0.763310073
8.77,0.76316258
8.78,0.76301545
8.79,0.762868678
8.8,0.762722246
8.81,0.762576173
8.82,0.762430548
8.83,0.76228528
8.84,0.762140348
8.85,0.761995871
8.86,0.761851639
8.87,0.761707841
8.88,0.761564495
8.89,0.761421392
8.9,0.76127873
8.91,0.7611364
8.92,0.760994419
8.93,0.760852766
8.94,0.760711553
8.95,0.760570666
8.96,0.760430118
8.97,0.760289904
8.98,0.760150127
8.99,0.760010673
9,0.759871444
9.01,0.759732747
9.02,0.759594283
9.03,0.75945624
9.04,0.759318518
9.05,0.759181116
9.06,0.759044143
9.07,0.75890739
9.08,0.758771054
9.09,0.758635045
9.1,0.758499442
9.11,0.758364066
9.12,0.758229104
9.13,0.758094447
9.14,0.757960113
9.15,0.757826192
9.16,0.757692473
9.17,0.757559166
9.18,0.757426179
9.19,0.757293493
9.2,0.757161205
9.21,0.757029236
9.22,0.756897466
9.23,0.756766203
9.24,0.756635146
9.25,0.756504485
